,hh_own,hh_own_se,hh_exp,hh_exp_se,hh_share_pct,ind_own,ind_own_se,ind_exp,ind_exp_se,ind_share_pct,mkt_own,mkt_own_se,mkt_exp,mkt_exp_se,mkt_share_pct
corn,-.813649170118,.0243463851491,.242152830225,.0196432106274,2.31710430093,-.810951090895,.0247764594925,.252285132716,.0208573777497,2.48353357788,-.844981921793,.0458699080349,-.2225086799,.0471772916763,1.42236199094
wheat,-.820028946443,.0258540637471,.458021043877,.0194287319123,1.49744760235,-.822950089086,.0266404538673,.471108392678,.0208801964376,1.57329332149,-.758259632248,.0369413900531,.253976678281,.0332015186287,1.08404326649
rice,-1.57186456921,.228616958097,.581674940664,.0388995371183,.153112840215,-1.46338489762,.210459037902,.560959150575,.0429176794885,.17095218514,-1.89204718976,.391908087555,.37872172298,.0610557739503,.104825644834
other,-.76031973901,.0879757055297,1.06638318822,.0547279952184,.100123534054,-.762934704451,.100441578396,1.0919248748,.056862352741,.104406336298,-.774230787359,.0812543266208,1.053850992,.0497574015507,.108586083918
